feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fl673061103q_abs_issuers_ts__lag007,0.987461,0.208339,0.517868,0.7171014
q__bogz1fl702050005q_usb_ffrrp__lag004,0.996865,0.316894,0.400293,0.71493884
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag006,0.990596,0.081805,0.639409,0.7144318
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag006,0.990596,0.081805,0.639409,0.7144318
q__bogz1lm343061113q_fed_ret_tsy_dc__lag006,0.990596,0.081805,0.639409,0.7144318
q__rrvrusq156n_rental_vacancy__lag002,0.874608,0.044834,0.770753,0.71331864
q__bogz1fl713061103q_fed_tsy__lag006,0.990596,0.134935,0.585058,0.71322244
q__bogz1fl713061103q_fed_tsy_raw__lag006,0.990596,0.134935,0.585058,0.71322244
q__bogz1fl713061103q_cb_tsy__lag006,0.990596,0.134935,0.585058,0.71322244
q__bogz1fa713061103q_cb_tsy_tx__lag008,0.971787,0.221073,0.510486,0.71091894
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag001,1.0,0.209165,0.501639,0.71080389
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag001,1.0,0.209165,0.501639,0.71080389
q__bogz1lm343061113q_fed_ret_tsy_dc__lag001,1.0,0.209165,0.501639,0.71080389
m__ipbuseq_ipbuseq__lag001,0.99373,0.244703,0.470421,0.7106403
m__ipfinal_ipfinal__lag008,1.0,0.44091,0.268834,0.70974434
q__fbtsaaq027s_dom_fin_sector_tsy__lag003,1.0,0.09981,0.609732,0.70954278
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag007,0.987461,0.062877,0.655301,0.70917284
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag007,0.987461,0.062877,0.655301,0.70917284
q__bogz1lm343061113q_fed_ret_tsy_dc__lag007,0.987461,0.062877,0.655301,0.70917284
m__ipbuseq_ipbuseq__lag005,0.990596,0.222162,0.493547,0.70897849
m__ipfinal_ipfinal__lag007,1.0,0.37527,0.333577,0.70884642
q__bogz1lm403061105q_gses_ts__lag001,1.0,0.365542,0.342391,0.70793302
q__bogz1lm403061105q_gse_tsy__lag001,1.0,0.365542,0.342391,0.70793302
q__rhvrusq156n_owner_vacancy__lag003,0.871473,0.014772,0.796931,0.70737722
q__bogz1fl702050005q_usb_ffrrp__lag002,1.0,0.286103,0.420061,0.70616422
q__bogz1fl702050005q_usb_ffrrp__lag003,1.0,0.286715,0.418745,0.70546056
m__houst_houst__lag002,0.84326,0.178462,0.657247,0.70472047
m__currcir_currcir__lag001,1.0,0.104632,0.598781,0.7034133
q__bogz1fl543061165q_life_insurance_ts__lag001,1.0,0.15583,0.546901,0.70273071
m__ipbuseq_ipbuseq__lag011,0.984326,0.128098,0.584664,0.70159059
q__bogz1fa343061113q_fed_gov_dcf_retirement_ts_tx__lag004,0.984326,0.431948,0.280234,0.70101922
m__civpart_civpart__lag010,0.971787,0.129022,0.592019,0.70069827
m__permit_permit__lag003,0.830721,0.13317,0.709662,0.7001587
q__bogz1fl593061105q_pension_ts__lag006,0.990596,0.11937,0.586497,0.69922847
q__na000283q_gov_current_exp__lag001,0.990596,0.267332,0.437336,0.69804157
m__totresns_res__lag001,0.84326,0.165041,0.662594,0.69791173
q__fgexpnd_fgexpnd__lag001,0.990596,0.266681,0.436895,0.69695911
q__rrvrusq156n_rental_vacancy__lag004,0.868339,0.030527,0.770275,0.69536737
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag004,0.984326,0.515762,0.190558,0.69524853
m__houst_houst__lag011,0.833856,0.223947,0.609171,0.69469993
m__unrate_unrate__lag009,0.974922,0.518114,0.193096,0.69337401
q__bogz1fa313161105q_tsy_net_tx__lag004,0.984326,0.459146,0.245058,0.69316545
m__bogmbase_mb__lag001,0.84326,0.150273,0.671445,0.69292193
m__currcir_currcir__lag002,1.0,0.103331,0.58889,0.69222091
q__bogz1fa713061103q_cb_tsy_tx__lag005,0.981191,0.298392,0.406844,0.69197102
q__bogz1fl712051000q_fed_rrp__lag004,0.996865,0.492892,0.197455,0.68818263
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag008,0.984326,0.039866,0.657485,0.68642061
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag008,0.984326,0.039866,0.657485,0.68642061
q__bogz1lm343061113q_fed_ret_tsy_dc__lag008,0.984326,0.039866,0.657485,0.68642061
m__currcir_currcir__lag003,1.0,0.098242,0.585328,0.68356999
q__bogz1lm343061165q_fed_gov_db_retirement_ts__lag003,1.0,0.095998,0.587478,0.68347588
q__bogz1lm343061165q_fed_ret_tsy_db__lag003,1.0,0.095998,0.587478,0.68347588
m__houst_houst__lag012,0.833856,0.214361,0.604137,0.68250875
m__ipbuseq_ipbuseq__lag006,0.990596,0.222265,0.466675,0.68246135
m__houst_houst__lag009,0.836991,0.226229,0.585351,0.67928444
q__bogz1fa713061103q_cb_tsy_tx__lag001,0.99373,0.413798,0.268873,0.67839147
m__ipcongd_ipcongd__lag009,1.0,0.453125,0.222936,0.6760611
m__ipfinal_ipfinal__lag002,1.0,0.399875,0.274469,0.67434355
m__ipbuseq_ipbuseq__lag012,0.984326,0.149665,0.534613,0.67355354
q__na000283q_gov_current_exp__lag004,0.981191,0.15634,0.529113,0.67256007
m__psavert_psavert__lag009,0.836991,0.648989,0.154324,0.67236559
q__fgexpnd_fgexpnd__lag004,0.981191,0.156806,0.527997,0.67192222
m__psavert_psavert__lag008,0.836991,0.687234,0.114956,0.67142548
q__fgexpnd_fgexpnd__lag003,0.984326,0.172283,0.50977,0.6713622
q__na000283q_gov_current_exp__lag003,0.984326,0.170711,0.511341,0.67136155
q__bogz1lm473061105q_credit_unions_ts__lag001,1.0,0.005065,0.665956,0.67102103
q__bogz1lm473061105q_credit_unions_ts_tx__lag001,1.0,0.005065,0.665956,0.67102103
q__bogz1fl704135005q_usb_loan_l__lag007,0.987461,0.192313,0.487206,0.67099904
m__civpart_civpart__lag009,0.974922,0.184894,0.503014,0.67065642
q__fbtsatq027s_dom_fin_sector_tsy_tx__lag001,0.99373,0.351159,0.323568,0.67049676
m__bogmbase_mb__lag002,0.84326,0.142302,0.651276,0.66919233
m__currcir_currcir__lag004,1.0,0.092285,0.576627,0.6689116
m__ipfinal_ipfinal__lag003,1.0,0.398654,0.269927,0.66858103
m__totresns_res__lag002,0.84326,0.153897,0.638172,0.66791996
q__ad02rc1q027sbea_gov_netlending__lag003,0.827586,0.366518,0.439445,0.66700413
q__bogz1lm653061105q_mf_tsy_raw__lag007,0.987461,0.094026,0.579927,0.66550283
q__bogz1lm653061105q_mutual_funds_ts__lag007,0.987461,0.094026,0.579927,0.66550283
q__bogz1fl712151003q_fed_repo__lag004,0.996865,0.21504,0.452017,0.66496577
m__permit_permit__lag001,0.830721,0.1244,0.673933,0.66319223
m__houst_houst__lag006,0.840125,0.177087,0.611679,0.66266267
q__bogz1fl263061130q_row_gov_tsy__lag008,0.984326,0.112106,0.560896,0.66245331
q__bogz1fl704135005q_usb_loan_l__lag006,0.990596,0.167618,0.500707,0.66204003
q__bogz1lm653061105q_mf_tsy_raw__lag006,0.990596,0.091691,0.576613,0.66201893
q__bogz1lm653061105q_mutual_funds_ts__lag006,0.990596,0.091691,0.576613,0.66201893
q__rrvrusq156n_rental_vacancy__lag001,0.877743,0.028391,0.725241,0.66149518
q__rowmmfq027s_row_moneymarketfundshares_flow__lag008,0.971787,0.112641,0.566937,0.66040518
m__ipbuseq_ipbuseq__lag002,0.99373,0.255745,0.408248,0.65982973
m__ipfinal_ipfinal__lag004,1.0,0.388292,0.271518,0.65981089
m__currcir_currcir__lag005,1.0,0.090089,0.569305,0.65939373
q__ad02rc1q027sbea_gov_netlending__lag004,0.824451,0.336467,0.462124,0.65840017
q__bogz1fl313024000q_tres_oper_cash__lag004,0.996865,0.260942,0.398808,0.65768225
m__civpart_civpart__lag008,0.974922,0.177788,0.494525,0.65545252
q__bogz1fl712051000q_fed_rrp__lag006,0.990596,0.39086,0.270704,0.65534176
m__civpart_civpart__lag012,0.971787,0.120118,0.554195,0.65528775
q__bogz1fl573061143q_private_db_pension_ts__lag001,1.0,0.228747,0.425793,0.65453975
m__m2sl_m2__lag001,0.84326,0.127422,0.648666,0.65444404
q__bogz1fa673061103q_abs_issuers_ts_tx__lag008,0.971787,0.09137,0.579333,0.65178051
q__bogz1fl704141005q_usb_stloan_l__lag007,0.987461,0.189317,0.470416,0.65146129
q__rhvrusq156n_owner_vacancy__lag004,0.868339,0.037244,0.712262,0.65082515
q__bogz1lm653061105q_mf_tsy_raw__lag005,0.99373,0.08347,0.571448,0.6508114
q__bogz1lm653061105q_mutual_funds_ts__lag005,0.99373,0.08347,0.571448,0.6508114
m__currcir_currcir__lag006,1.0,0.086778,0.563658,0.65043667
q__bogz1fa633061105q_money_market_funds_ts_tx__lag002,0.990596,0.357364,0.299074,0.6502643
q__bogz1lm653061113q_mf_bills_raw__lag008,0.984326,0.225112,0.435043,0.64980778
q__bogz1lm653061113q_mutf_bills__lag008,0.984326,0.225112,0.435043,0.64980778
m__busloans_busloans__lag009,0.987461,0.160782,0.496435,0.64897596
m__bogmbase_mb__lag003,0.84326,0.125655,0.64393,0.64895988
m__m2sl_m2__lag002,0.84326,0.122271,0.646314,0.64811709
q__bogz1fa573061133q_private_dc_pension_ts_tx__lag002,0.990596,0.284192,0.36821,0.64626621
m__ipcongd_ipcongd__lag008,1.0,0.418043,0.228085,0.64612821
q__bogz1lm343061165q_fed_gov_db_retirement_ts__lag004,0.996865,0.095745,0.552143,0.64585634
q__bogz1lm343061165q_fed_ret_tsy_db__lag004,0.996865,0.095745,0.552143,0.64585634
m__ipfinal_ipfinal__lag005,1.0,0.37838,0.267183,0.64556307
m__civpart_civpart__lag004,0.978056,0.197857,0.460889,0.64429054
m__totresns_res__lag003,0.84326,0.132194,0.631288,0.64381408
m__busloans_busloans__lag010,0.984326,0.146591,0.507375,0.64371637
m__ipdcongd_ipdcongd__lag009,0.987461,0.394443,0.257104,0.64337682
q__bogz1fl593061105q_pension_ts__lag005,0.99373,0.117586,0.529567,0.64309535
q__bogz1fl704141005q_usb_stloan_l__lag006,0.990596,0.165643,0.482128,0.64167939
q__bogz1fl633061110q_mmf_bills_raw__lag001,1.0,0.344006,0.297616,0.6416214
q__bogz1fl633061110q_mmf_bills__lag001,1.0,0.344006,0.297616,0.6416214
q__fgtlasq027s_gov_loan_a__lag001,1.0,0.087947,0.553511,0.64145772
q__fgla_fgla__lag001,1.0,0.087757,0.553621,0.64137809
q__fgla_fedgov_loans__lag001,1.0,0.087757,0.553621,0.64137809
q__bogz1fl753061103q_usb_tsy_for__lag002,1.0,0.230008,0.411083,0.64109053
m__ipbuseq_ipbuseq__lag003,0.99373,0.264442,0.380361,0.64075954
q__fbtsaaq027s_dom_fin_sector_tsy__lag004,0.996865,0.05048,0.591834,0.64030061
m__busloans_busloans__lag008,0.987461,0.159193,0.4892,0.64026239
m__busloans_busloans__lag012,0.984326,0.14977,0.499704,0.63929432
q__bogz1lm653061105q_mf_tsy_raw__lag008,0.984326,0.084239,0.56474,0.63880722
q__bogz1lm653061105q_mutual_funds_ts__lag008,0.984326,0.084239,0.56474,0.63880722
m__m2sl_m2__lag003,0.84326,0.11607,0.640834,0.6382668
m__houst_houst__lag003,0.84326,0.163285,0.59351,0.63817507
m__manemp_manemp__lag003,1.0,0.331604,0.306093,0.63769686
q__bogz1fl713123030q_tga__lag004,0.996865,0.240477,0.398808,0.63728123
q__bogz1fl713123030q_tga_z1__lag004,0.996865,0.240477,0.398808,0.63728123
q__ophnfb_nflabor_productivity__lag001,0.990596,0.181718,0.460644,0.63632026
m__currcir_currcir__lag007,1.0,0.081246,0.554577,0.63582257
q__bogz1fl763061100q_usb_tsy_oth__lag001,1.0,0.063131,0.572217,0.63534768
q__bogz1fl713061103q_fed_tsy__lag007,0.987461,0.144299,0.499099,0.63533025
q__bogz1fl713061103q_fed_tsy_raw__lag007,0.987461,0.144299,0.499099,0.63533025
q__bogz1fl713061103q_cb_tsy__lag007,0.987461,0.144299,0.499099,0.63533025
q__bogz1fa573061133q_private_dc_pension_ts_tx__lag001,0.99373,0.362404,0.276366,0.63476536
q__bogz1fa633061105q_money_market_funds_ts_tx__lag004,0.984326,0.436182,0.208356,0.63443539
q__bogz1lm223061143q_state_local_db_retirement_ts__lag007,0.987461,0.141862,0.500372,0.6341809
m__manemp_manemp__lag002,1.0,0.329712,0.30442,0.63413197
q__bogz1fr403061105q_gses_ts_reval__lag001,0.99373,0.220524,0.417001,0.63352787
m__manemp_manemp__lag001,1.0,0.328043,0.304612,0.63265548
q__rrvrusq156n_rental_vacancy__lag005,0.865204,0.017002,0.713553,0.63207848
m__ipfinal_ipfinal__lag006,1.0,0.36763,0.264303,0.63193239
m__ipfinal_ipfinal__lag001,1.0,0.370011,0.261459,0.63147067
m__busloans_busloans__lag011,0.984326,0.145,0.496184,0.63113395
q__bogz1lm903061103q_instrument_discrepancies_ts__lag002,1.0,0.436532,0.194589,0.63112135
q__bogz1fl712051000q_fed_rrp__lag003,1.0,0.389429,0.241409,0.63083741
m__unrate_unrate__lag008,0.974922,0.471015,0.175997,0.63078612
q__ophnfb_nflabor_productivity__lag002,0.987461,0.167351,0.471191,0.6305352
m__busloans_busloans__lag007,0.987461,0.145629,0.491965,0.6295993
d__dgs5_dgs5__lag016,0.805643,0.465738,0.312816,0.62723594
d__dgs5_dgs5__lag025,0.805643,0.469591,0.308816,0.62711751
d__dgs5_dgs5__lag018,0.805643,0.467351,0.310687,0.62682068
d__dgs5_dgs5__lag021,0.805643,0.467565,0.310346,0.62671811
m__currcir_currcir__lag008,1.0,0.078525,0.54795,0.62647436
q__bogz1fa403061105q_gses_ts_tx__lag004,0.984326,0.405737,0.230571,0.62633405
q__bogz1fl712051000q_fed_rrp__lag001,1.0,0.112825,0.512853,0.62567854
m__manemp_manemp__lag006,1.0,0.314556,0.310642,0.62519863
d__dgs5_dgs5__lag026,0.805643,0.467648,0.308263,0.62510688
d__dgs5_dgs5__lag024,0.805643,0.465713,0.30956,0.62459306
