job_id,rank,candidate_id,shock_id,state_id,is_current_instrument,rows_estimated,singular_rows,weak_rows,weak_row_share,min_observations,max_observations,min_first_stage_f,median_first_stage_f,max_first_stage_f,min_partial_r2,median_partial_r2,max_partial_r2,recommendation,beats_current_candidate,control_ids
tdc_lpiv_deposits_qra_ru_gap,52,iv_qra_net_bills_bn_x_slrwatch_bank_duration_loss_dominant_share_l1,qra_net_bills_bn,slrwatch_bank_duration_loss_dominant_share_l1,False,10,0,10,1.0,19,27,0.043118,0.087692,0.819665,0.00239,0.007293,0.051813,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,slrwatch_bank_duration_loss_dominant_share_l1"
tdc_lpiv_deposits_qra_ru_gap,53,iv_qra_bill_share_x_tsyparty_ru_gap_l1,qra_bill_share,tsyparty_ru_gap_l1,False,10,0,10,1.0,59,64,0.050026,0.086551,0.14825,0.000926,0.001662,0.002688,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,tsyparty_ru_gap_l1"
tdc_lpiv_deposits_qra_ru_gap,54,iv_qra_net_bills_bn_x_wamest_foreigners_wam_years_l1,qra_net_bills_bn,wamest_foreigners_wam_years_l1,False,6,0,6,1.0,10,12,0.049456,0.085074,0.704538,0.016218,0.020826,0.260502,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,wamest_foreigners_wam_years_l1"
tdc_lpiv_deposits_qra_ru_gap,55,iv_qra_maturity_tilt_flow_x_coord_on_rrp_share_q,qra_maturity_tilt_flow,coord_on_rrp_share_q,False,10,0,10,1.0,60,68,0.015967,0.083351,0.227947,0.000266,0.001411,0.004054,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,coord_on_rrp_share_q"
tdc_lpiv_deposits_qra_ru_gap,56,iv_qra_ati_baseline_bn_x_coord_on_rrp_share_q,qra_ati_baseline_bn,coord_on_rrp_share_q,False,10,0,10,1.0,60,68,0.015967,0.083351,0.227947,0.000266,0.001411,0.004054,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,coord_on_rrp_share_q"
tdc_lpiv_deposits_qra_ru_gap,57,iv_qra_maturity_tilt_flow_x_slrwatch_bank_duration_pressure_l1,qra_maturity_tilt_flow,slrwatch_bank_duration_pressure_l1,False,10,0,10,1.0,19,27,0.052943,0.076692,0.138649,0.002933,0.006132,0.00809,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,slrwatch_bank_duration_pressure_l1"
tdc_lpiv_deposits_qra_ru_gap,58,iv_qra_ati_baseline_bn_x_slrwatch_bank_duration_pressure_l1,qra_ati_baseline_bn,slrwatch_bank_duration_pressure_l1,False,10,0,10,1.0,19,27,0.052943,0.076692,0.138649,0.002933,0.006132,0.00809,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,slrwatch_bank_duration_pressure_l1"
tdc_lpiv_deposits_qra_ru_gap,59,iv_qra_maturity_tilt_flow_x_tsyparty_bank_foreign_official_corr_l1,qra_maturity_tilt_flow,tsyparty_bank_foreign_official_corr_l1,False,10,0,10,1.0,60,68,0.018279,0.074038,0.083794,0.000351,0.001244,0.001443,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,tsyparty_bank_foreign_official_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,60,iv_qra_ati_baseline_bn_x_tsyparty_bank_foreign_official_corr_l1,qra_ati_baseline_bn,tsyparty_bank_foreign_official_corr_l1,False,10,0,10,1.0,60,68,0.018279,0.074038,0.083794,0.000351,0.001244,0.001443,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,tsyparty_bank_foreign_official_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,61,iv_qra_bill_share_x_wamest_foreigners_wam_years_l1,qra_bill_share,wamest_foreigners_wam_years_l1,False,6,0,6,1.0,10,12,0.066346,0.071696,1.00601,0.017608,0.021637,0.334666,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,wamest_foreigners_wam_years_l1"
tdc_lpiv_deposits_qra_ru_gap,62,iv_qra_bill_share_x_tsyparty_bank_foreign_private_corr_l1,qra_bill_share,tsyparty_bank_foreign_private_corr_l1,False,10,0,10,1.0,60,68,1e-06,0.049173,0.152691,0.0,0.000833,0.002928,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,tsyparty_bank_foreign_private_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,63,iv_qra_bill_share_x_slrwatch_bank_funding_pressure_l1,qra_bill_share,slrwatch_bank_funding_pressure_l1,False,10,0,10,1.0,19,27,0.00144,0.046668,1.022794,8e-05,0.002738,0.085071,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,slrwatch_bank_funding_pressure_l1"
tdc_lpiv_deposits_qra_ru_gap,64,iv_qra_net_bills_bn_x_coord_low_reserve_state_l1,qra_net_bills_bn,coord_low_reserve_state_l1,False,10,0,10,1.0,60,68,0.041505,0.045116,0.087484,0.000727,0.000805,0.001456,weak_or_insufficient,False,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,coord_low_reserve_state_l1"
