feature_id,base_series,frequency,lag,source_file,nonmissing_quarters,coverage_share
d__aaa10y_aaa10y__lag081,aaa10y_aaa10y,d,81,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag082,aaa10y_aaa10y,d,82,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag083,aaa10y_aaa10y,d,83,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag084,aaa10y_aaa10y,d,84,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag085,aaa10y_aaa10y,d,85,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag086,aaa10y_aaa10y,d,86,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag087,aaa10y_aaa10y,d,87,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag088,aaa10y_aaa10y,d,88,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag089,aaa10y_aaa10y,d,89,FRED_AAA10Y_AAA10Y.csv,172,0.539185
d__aaa10y_aaa10y__lag090,aaa10y_aaa10y,d,90,FRED_AAA10Y_AAA10Y.csv,172,0.539185
d__abcomp_abcomp__lag001,abcomp_abcomp,d,1,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag002,abcomp_abcomp,d,2,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag003,abcomp_abcomp,d,3,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag004,abcomp_abcomp,d,4,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag005,abcomp_abcomp,d,5,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag006,abcomp_abcomp,d,6,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag007,abcomp_abcomp,d,7,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag008,abcomp_abcomp,d,8,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag009,abcomp_abcomp,d,9,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag010,abcomp_abcomp,d,10,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag011,abcomp_abcomp,d,11,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag012,abcomp_abcomp,d,12,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag013,abcomp_abcomp,d,13,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag014,abcomp_abcomp,d,14,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag015,abcomp_abcomp,d,15,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag016,abcomp_abcomp,d,16,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag017,abcomp_abcomp,d,17,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag018,abcomp_abcomp,d,18,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag019,abcomp_abcomp,d,19,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag020,abcomp_abcomp,d,20,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag021,abcomp_abcomp,d,21,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag022,abcomp_abcomp,d,22,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag023,abcomp_abcomp,d,23,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag024,abcomp_abcomp,d,24,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag025,abcomp_abcomp,d,25,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag026,abcomp_abcomp,d,26,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag027,abcomp_abcomp,d,27,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag028,abcomp_abcomp,d,28,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag029,abcomp_abcomp,d,29,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag030,abcomp_abcomp,d,30,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag031,abcomp_abcomp,d,31,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag032,abcomp_abcomp,d,32,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag033,abcomp_abcomp,d,33,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag034,abcomp_abcomp,d,34,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag035,abcomp_abcomp,d,35,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag036,abcomp_abcomp,d,36,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag037,abcomp_abcomp,d,37,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag038,abcomp_abcomp,d,38,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag039,abcomp_abcomp,d,39,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag040,abcomp_abcomp,d,40,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag041,abcomp_abcomp,d,41,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag042,abcomp_abcomp,d,42,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag043,abcomp_abcomp,d,43,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag044,abcomp_abcomp,d,44,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag045,abcomp_abcomp,d,45,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag046,abcomp_abcomp,d,46,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag047,abcomp_abcomp,d,47,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag048,abcomp_abcomp,d,48,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag049,abcomp_abcomp,d,49,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag050,abcomp_abcomp,d,50,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag051,abcomp_abcomp,d,51,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag052,abcomp_abcomp,d,52,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag053,abcomp_abcomp,d,53,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag054,abcomp_abcomp,d,54,FRED_ABCOMP_ABCOMP.csv,101,0.316614
d__abcomp_abcomp__lag055,abcomp_abcomp,d,55,FRED_ABCOMP_ABCOMP.csv,101,0.316614
